,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.4187,19.2345,16.67,86,100,0.39,ZA,1619373128
1,port alfred,-33.5906,26.891,21.47,71,98,6.88,ZA,1619373427
2,bluff,-46.6,168.3333,5.56,84,78,2.68,NZ,1619373110
3,dwarka,22.2394,68.9678,27.96,78,0,7.21,IN,1619373431
4,qaanaaq,77.484,-69.3632,-0.15,73,80,1.61,GL,1619373342
5,aswan,24.0934,32.907,33.84,8,0,3.86,EG,1619373434
6,cockburn town,21.4612,-71.1419,29.0,58,40,5.14,TC,1619373275
7,barrow,71.2906,-156.7887,-12.0,92,1,5.66,US,1619372823
8,rio gallegos,-51.6226,-69.2181,14.0,54,0,8.75,AR,1619373437
9,rikitea,-23.1203,-134.9692,25.36,75,80,3.36,PF,1619373166
10,kiev,50.4333,30.5167,6.11,75,0,2.0,UA,1619373440
11,saldanha,-33.0117,17.9442,16.0,88,100,2.06,ZA,1619373109
12,palora,-1.7,-77.9333,27.0,65,40,1.54,EC,1619373443
13,punta arenas,-53.15,-70.9167,15.0,47,75,10.29,CL,1619373138
14,gedo,9.0167,37.45,12.81,90,100,1.84,ET,1619373445
15,panaba,21.2833,-88.2667,35.58,30,49,2.48,MX,1619373446
16,vaini,-21.2,-175.2,24.0,94,75,3.09,TO,1619372987
17,lebu,-37.6167,-73.65,15.74,75,0,5.86,CL,1619373205
18,tuktoyaktuk,69.4541,-133.0374,-12.0,85,90,4.63,CA,1619373234
19,qaqortoq,60.7167,-46.0333,11.0,30,75,8.75,GL,1619373451
20,mount isa,-20.7333,139.5,22.0,53,1,1.03,AU,1619373163
21,hobart,-42.8794,147.3294,14.0,62,40,6.17,AU,1619373095
22,nuuk,64.1835,-51.7216,6.0,65,90,1.03,GL,1619373311
23,ushuaia,-54.8,-68.3,13.0,50,75,8.23,AR,1619373100
24,tasiilaq,65.6145,-37.6368,4.0,65,75,10.29,GL,1619373214
25,sokolo,14.7328,-6.1219,40.18,9,57,1.15,ML,1619373458
26,khatanga,71.9667,102.5,-14.46,86,75,7.96,RU,1619373180
27,mehamn,71.0357,27.8492,2.0,69,75,5.14,NO,1619373209
28,charters towers,-20.1,146.2667,19.63,92,98,3.69,AU,1619373462
29,tiksi,71.6872,128.8694,-6.4,96,99,1.69,RU,1619373325
30,cape town,-33.9258,18.4232,18.89,88,0,7.72,ZA,1619372916
31,lasa,46.6166,10.7002,23.0,35,0,3.09,IT,1619373364
32,bengkulu,-3.8004,102.2655,25.1,86,98,2.09,ID,1619373276
33,naze,28.3667,129.4833,18.05,68,99,4.49,JP,1619373467
34,mar del plata,-38.0023,-57.5575,18.0,68,75,7.2,AR,1619372951
35,pisco,-13.7,-76.2167,21.11,83,20,3.6,PE,1619372980
36,de-kastri,51.4667,140.7833,-2.75,68,4,1.91,RU,1619373471
37,new norfolk,-42.7826,147.0587,12.78,80,96,0.45,AU,1619373185
38,butaritari,3.0707,172.7902,27.9,77,24,5.07,KI,1619373444
39,nikolskoye,59.7035,30.7861,4.44,87,75,5.0,RU,1619373302
40,puri,19.8,85.85,29.0,79,20,5.66,IN,1619373476
41,taikang,46.8333,124.4167,8.88,36,90,4.31,CN,1619373477
42,bethel,41.3712,-73.414,12.0,71,90,3.09,US,1619372909
43,bredasdorp,-34.5322,20.0403,14.0,88,100,1.54,ZA,1619373173
44,catuday,16.2923,119.8062,25.01,75,0,4.7,PH,1619373480
45,olkhovatka,50.2831,39.2872,5.83,54,50,3.12,RU,1619373482
46,alekseyevsk,57.8406,108.3492,-0.15,91,92,2.63,RU,1619373483
47,carnarvon,-24.8667,113.6333,18.0,88,0,4.12,AU,1619373208
48,saskylakh,71.9167,114.0833,-9.28,95,100,4.01,RU,1619373359
49,kavieng,-2.5744,150.7967,27.36,77,95,1.71,PG,1619373283
50,albany,42.6001,-73.9662,13.33,62,100,1.77,US,1619372852
51,mattru,7.6244,-11.8332,29.64,65,77,2.9,SL,1619373438
52,kimbe,-5.5502,150.1429,24.02,92,93,1.26,PG,1619373491
53,mataura,-46.1927,168.8643,5.56,84,38,2.68,NZ,1619373166
54,faya,18.3851,42.4509,17.0,59,40,3.6,SA,1619373494
55,de aar,-30.6497,24.0123,20.42,23,74,1.49,ZA,1619373495
56,jamestown,42.097,-79.2353,9.44,81,90,5.14,US,1619373158
57,saint-philippe,-21.3585,55.7679,26.0,73,0,10.29,RE,1619373244
58,georgetown,5.4112,100.3354,28.0,89,20,1.54,MY,1619373322
59,luderitz,-26.6481,15.1594,16.71,92,83,0.62,NA,1619373245
60,chuy,-33.6971,-53.4616,20.4,55,18,6.54,UY,1619372958
61,mogadishu,2.0371,45.3438,28.7,74,72,6.47,SO,1619373502
62,busselton,-33.65,115.3333,11.67,95,22,1.83,AU,1619373133
63,portland,45.5234,-122.6762,12.78,71,90,1.54,US,1619373206
64,urusha,54.05,122.9,2.54,73,100,0.41,RU,1619373505
65,aklavik,68.2191,-135.0107,-6.0,79,20,5.66,CA,1619373507
66,mitchell,43.7094,-98.0298,11.11,61,1,15.43,US,1619373508
67,borovany,48.8986,14.6423,10.0,37,60,3.4,CZ,1619373510
68,beloha,-25.1667,45.05,23.1,80,27,3.42,MG,1619373511
